source,target,df_alpha,gloss_alpha,global_score,lans_alpha,ecm_alpha,nc_alpha,mlf_score,weight,pf_alpha
27,132,0.9097780720656731,1.0,49,0.0,0.002464016666635871,0.0,188.8349468448334,49,0.448554042316142
132,40,0.9419510033454284,1.0,31,0.0,0.0023062769323587418,0.0,120.28902363319344,31,0.113165231352387
132,43,0.16666666666666663,0.19393,190,0.0,0.0030270996503531933,0.0,690.3497360625416,190,0.663345024137066
132,47,0.6157205240174672,0.633947,264,0.4655172413793104,0.006608899217098951,0.0,709.782712893384,264,0.434214072664473
132,48,0.248,0.416077,94,0.0,0.003339858725667,0.0,333.4196947265528,94,0.199004988385092
132,52,0.040000000000000036,3.93083e-16,24,0.0,0.0017820560606196523,0.0,92.62209030341954,24,0.375630538123485
132,53,0.19257841727700264,0.213508,873,0.13793103448275867,0.0653519332408905,0.0,709.782712893384,873,0.329308395205253
132,79,0.23039999999999994,0.336701,221,0.0,0.0050596934743225574,0.0,699.587994302489,221,0.43842400293675
132,88,0.15286794942369264,0.184754,706,0.18181818181818177,0.013702097348868847,0.0,709.782712893384,706,0.691899848050697
132,89,0.1758653921418889,0.221928,548,0.1428571428571429,0.009686000645160675,0.0,709.782712893384,548,0.264862783274364
132,94,0.8276188077509177,0.710027,126,0.7413793103448276,0.17031939327716827,0.5546055229298571,0.5285714598843566,126,0.525046090595015
132,98,0.8702354250435923,1.0,72,0.0,0.0025789036881178617,0.0,276.3223709994286,72,0.823594779772053
132,99,0.7468529028964428,1.0,151,0.0,0.0027099712751805782,0.0,576.535648104934,151,0.383608808291147
132,108,0.29145231185269527,0.372284,246,0.25,0.008226683363318443,0.0,673.7958822790707,246,0.540763162379139
132,109,0.24315316519254682,0.255612,236,0.1428571428571429,0.013382130302488804,0.0,538.3962890468508,236,0.521482188707387
132,114,0.05769230769230771,0.0522545,49,0.0,0.0021355203352868557,0.0,185.9477043165968,49,0.4941249478084
132,128,0.7226245641557463,0.543242,265,0.38235294117647056,0.43708789348602295,1.0,-0.0,265,0.494631135994718
132,134,0.4589692611678491,0.396421,239,0.40909090909090906,0.08704318106174469,0.0,171.4359980831842,239,0.385889702407023
132,2054,0.023622047244094446,1.89436e-18,124,0.0,0.0022866930812597275,0.0,471.0192090382389,124,0.441682736141602
132,138,0.22953650189720953,0.236973,162,0.0,0.005006563849747181,0.0,513.8999142632523,162,0.584657437026876
132,139,0.46349121032783114,0.463239,147,0.5555555555555556,0.031118331477046013,0.0,222.0954594553914,147,0.415462033034785
132,140,0.011462633597867922,0.049429,183,0.0,0.0017660071607679129,0.0,626.3002828153393,183,0.423444636727657
132,145,0.0003991342938347575,0.0263597,350,0.0,0.0005447746370919049,0.0,709.782712893384,350,0.888255406804362
132,1984,0.01117817151506928,0.01485,203,0.0,0.0018881206633523107,0.0,709.782712893384,203,0.274622993834879
132,148,0.1573265098039911,0.175918,164,0.0,0.006589401047676802,0.0,465.26264287989665,164,0.726013064480574
132,150,0.056378305381924676,0.108844,1164,0.07692307692307687,0.037201911211013794,0.0,709.782712893384,1164,0.467869168794793
132,2055,0.03207841390064614,0.0907673,110,0.0,0.0021650653798133135,0.0,399.2507022979245,110,0.12118988947229
132,2056,0.8132803203006833,1.0,107,0.0,0.0026679288130253553,0.0,409.3617263262431,107,0.233229207862733
132,153,0.2323160454928036,0.297794,853,0.15517241379310343,0.011998816393315792,0.0,709.782712893384,853,0.352110971106243
132,157,0.08450728430868715,0.136233,1229,0.06896551724137934,0.1039060652256012,0.0,507.270521395699,1229,0.217982881816786
132,2057,0.918605086668589,1.0,44,0.0,0.002428453415632248,0.0,169.8040785197238,44,0.307695335837324
132,2058,0.8940989582353034,1.0,58,0.0,0.002516998676583171,0.0,223.07808052499348,58,0.5
132,2059,0.9510845751798961,1.0,26,0.0,0.0022428291849792004,0.0,101.22442901574526,26,0.389021827365453
132,574,0.6550512851424355,0.545341,178,0.6149068322981366,0.652722954750061,1.0,-0.0,178,0.494861577303318
132,575,0.7250459932525285,0.578153,193,0.5862068965517242,0.7171481847763062,1.0,-0.0,193,0.397069017356069
132,591,0.00012953174866370265,0.0166336,4997,0.0,0.0007463489891961217,0.0,709.782712893384,4997,0.36204379302939
132,627,0.004350870244292704,0.0350747,2221,0.006896551724137945,0.0191335529088974,0.0,709.782712893384,2221,0.511417017604605
132,645,0.019349760131176175,0.0741356,2007,0.021276595744680882,0.029185395687818527,0.0,709.782712893384,2007,0.774147071326444
132,647,0.7151089050906081,0.569638,196,0.5689655172413793,0.636289656162262,1.0,-0.0,196,0.506311952816864
132,648,0.5533430528716242,0.413512,606,0.2586206896551724,0.45421579480171204,1.0,-0.0,606,0.372821883585889
132,682,0.12447452273026771,0.162017,1052,0.10344827586206895,0.16633488237857819,0.0,210.90399378790988,1052,0.0604365641588101
132,691,0.5848523231677178,0.445919,336,0.4137931034482759,0.6147849559783936,1.0,-0.0,336,0.528882937382554
132,697,0.728103044959999,0.539428,296,0.43103448275862066,0.3689587414264679,0.9999999999934579,4.470201986360722e-12,296,0.210700509594026
132,702,0.6206458414179961,0.466993,360,0.3793103448275862,0.4618646204471588,1.0,-0.0,360,0.450107629831947
132,712,0.3154218949817378,0.297401,652,0.24137931034482762,0.04130334034562111,0.0,709.782712893384,652,0.383105167054699
132,730,0.4242189307761558,0.343859,799,0.18965517241379315,0.28849121928215027,1.0085932089509697e-11,25.07267713330704,799,0.609049283080885
132,733,0.5971842378521457,0.443339,473,0.31034482758620685,0.416138619184494,0.9999999999561907,3.261579895106236e-11,473,0.558225568663796
132,736,0.37857036524295273,0.314337,573,0.2666666666666667,0.30760183930397034,5.946985126570326e-10,20.974357271640994,573,0.650721629162223
132,738,0.10719660440670697,0.156657,971,0.04761904761904767,0.02049066498875618,0.0,709.782712893384,971,0.856293968197433
132,965,0.6665322353299845,0.559243,170,0.5949367088607596,0.4508105218410492,0.9999999999872451,7.850720074062687e-12,170,0.13419672315348
132,971,0.15279041790063963,0.190198,788,0.1428571428571429,0.028774743899703026,0.0,709.782712893384,788,0.61061788377073
132,974,0.42409020061933855,0.360605,384,0.3448275862068966,0.07946193963289261,0.0,302.1044794944929,384,0.0998183199512193
132,981,0.8772990625837673,0.778634,91,0.7692307692307692,0.5091767311096191,1.0,-0.0,91,0.959666629709491
132,1183,0.5463784037900286,0.461966,366,0.3620689655172413,0.04335402697324753,0.0,403.8281445578184,366,0.797842106455026
132,1184,0.5351001588443814,0.450749,400,0.3275862068965517,0.041871365159749985,0.0,452.3673689771452,400,0.235705265844385
132,1187,0.2689764336897751,0.270523,1312,0.051724137931034475,0.05207173153758049,0.0,709.782712893384,1312,0.862535474045401
132,1189,0.29750773056124846,0.279643,829,0.1724137931034483,0.047257084399461746,0.0,709.782712893384,829,0.591344225071534
132,1857,0.9904050835390378,1.0,5,0.0,0.001765853725373745,7.029599125019104e-12,20.71048070944158,5,0.346592631276109
43,108,0.8518236683743898,0.845868,38,0.5,0.0004673450894188136,0.0,219.25554724494182,38,0.725138640317472
47,150,0.3583062073452542,0.34993,423,0.0,0.0030347369611263275,0.0,709.782712893384,423,0.259696859944867
48,150,0.928187981653004,0.58971,31,0.5,0.007261048536747694,0.0,87.80219729283046,31,0.0399713504704432
52,2065,0.9111570247933884,1.0,1,0.5,0.002772130537778139,1.202649546616641e-08,8.77152895182963,1,0.293713551959434
53,157,0.2506168919136368,0.254744,692,0.18627450980392157,0.17955465614795685,0.0,229.44071491083113,692,0.233565877572378
53,128,0.10099733074319384,0.16691,1843,0.0,0.03715374320745468,0.0,709.782712893384,1843,0.465968627890338
53,108,0.1302076772994496,0.197205,360,0.0,0.002183508826419711,0.0,709.782712893384,360,0.462946076435363
53,150,0.06272218992777889,0.121271,1122,0.09615384615384615,0.02300332859158516,0.0,709.782712893384,1122,0.575502745275525
53,2034,0.022213123485423703,0.0300124,205,0.0,0.002422587014734745,0.0,581.0873558561539,205,0.175557849874305
53,73,0.26078103566529476,0.271693,182,0.0,0.0035657878033816814,0.0,590.6500612407415,182,0.020680124834097
53,88,0.5734726656462752,0.495401,223,0.4545454545454546,0.022989872843027115,0.0,318.31608918316755,223,0.430502892679806
53,89,0.4098549136492279,0.379917,301,0.2857142857142857,0.009700434282422066,0.0,692.7483825691273,301,0.750312545881341
53,2035,0.8901966265018242,1.0,63,0.0,0.0012050573714077473,0.0,269.79952451948554,63,0.48625497050216
53,94,0.17371960871518466,0.221085,1127,0.13888888888888884,0.01558123342692852,0.0,709.782712893384,1127,0.0841587212272429
53,109,0.5990737860061368,0.588492,92,0.7142857142857143,0.01419562567025423,0.0,168.00903914798113,92,0.582258077046962
53,111,0.5878661087866108,0.512543,197,0.5,0.002994954353198409,0.0,664.7576381180638,197,0.130062039936043
53,121,0.5518214276088735,0.786227,16,0.5,0.005416511092334986,0.0,42.97800654109579,16,0.122512935140086
53,134,0.44249779792004695,0.386544,250,0.36363636363636365,0.04268672689795494,0.0,279.1236228138297,250,0.0761123238548922
53,139,0.5003414355050428,0.490438,133,0.6666666666666667,0.016105562448501587,0.0,243.29179225469602,133,0.0398628089198401
53,140,0.8608540938852579,0.859835,10,0.6,0.012293245643377304,4.1527559169196593e-07,12.66028414153523,10,0.651543711682676
53,147,0.44666666666666666,0.466872,166,0.0,0.0023409489076584578,0.0,608.9811317042809,166,0.817263598151988
53,148,0.5025976137952421,0.669323,70,0.6,0.007811966352164745,0.0,172.31147708834916,70,0.187342057792654
53,153,0.7964236215108433,0.700464,145,0.6944444444444444,0.02166934870183468,0.0,141.69617969610687,145,0.681435096893761
53,574,0.4571273640923085,0.384496,329,0.40372670807453415,0.4327264428138733,0.952817794846511,0.04297848925315413,329,0.399863992182068
53,575,0.24278775965538857,0.24735,847,0.1871345029239766,0.27667275071144104,0.0,73.65816925576551,847,0.285720518678716
53,591,0.11343250343742506,0.169712,1252,0.11111111111111116,0.10093316435813904,0.0,702.4149056508115,1252,0.927268376782395
53,627,0.10068126314912929,0.150683,948,0.1103448275862069,0.13267773389816284,0.0,403.7381704526059,948,0.839488410279379
53,647,0.18694508383669173,0.215306,975,0.12598425196850394,0.1731145828962326,0.0,305.04189814448955,975,1.02075840264992
53,648,0.19081735235391228,0.227076,1688,0.02777777777777779,0.11619417369365692,0.0,663.763934603588,1688,0.11936504379581
53,682,0.6285282826078027,0.506499,236,0.5277777777777778,0.45677170157432556,0.9999999937788396,4.330076195873168e-09,236,0.78963049443484
53,691,0.11213639387787022,0.169991,1364,0.08333333333333337,0.15304367244243622,0.0,394.1001437649823,1364,0.835100125576083
53,702,0.2687472871684593,0.266439,987,0.19444444444444442,0.14902256429195404,0.0,378.43229596677486,987,0.395632977601088
53,712,0.6579551750906147,0.538009,242,0.5,0.04376963898539543,0.0,192.36601612999843,242,0.431871116893487
53,730,0.8815589968940816,0.761991,118,0.75,0.4347632825374603,1.0,-0.0,118,0.781081130153552
53,733,0.2021987819360742,0.229711,1457,0.05555555555555558,0.09334893524646759,0.0,709.782712893384,1457,0.7930850344798
53,971,0.804643352330599,0.73676,95,0.7619047619047619,0.07206716388463974,2.6697344335246953e-10,21.321896553373723,95,0.0245566943536002
53,981,0.5854427762022496,0.459157,371,0.36111111111111116,0.22311358153820038,7.771561172376096e-16,34.2981459538619,371,0.0086654381172956
53,76,0.8264462809917356,0.680782,6,0.6666666666666667,0.005883874371647835,1.0037680575614161e-07,13.121814352818358,6,0.208270456537774
53,2657,0.9926536512275891,1.0,4,0.0,0.0008321587811224163,3.690625582919438e-11,18.56902724845552,4,0.311576642996297
