source,target,mlf_score,global_score,df_alpha,ecm_alpha,nc_alpha,weight,lans_alpha,gloss_alpha,pf_alpha
2191,597,274.16866535978215,826,0.31896734028206586,0.10794368386268616,0.0,826,0.29166666666666663,0.467927,0.622748532115111
2191,700,687.8087378610412,1216,0.17862091890887055,0.1240944117307663,0.0,1216,0.10344827586206895,0.255825,0.0159604784292276
2191,625,2.3237525174287266e-08,90,0.8095884919678787,0.3761554956436157,0.9999999600843967,90,0.9230769230769231,0.951367,0.643416734979989
2191,571,10.318541839104826,661,0.4043205408262661,0.29135677218437195,2.809549413684831e-05,661,0.37037037037037035,0.596692,0.0972957668071354
2191,579,4.2603324095476877e-07,107,0.7659312873379582,0.5681060552597046,0.9999993271299248,107,0.8333333333333334,0.921747,0.643201367570634
2191,506,8.916201110768608e-13,361,0.615038246514596,0.6019627451896667,0.9999999999987049,361,0.5384615384615384,0.782847,0.311215286591473
2191,574,709.782712893384,2252,0.031565266252441826,0.01765339821577072,0.0,2252,0.0,0.0566453,0.269061041686938
2191,691,3.654095026710447e-08,308,0.6613555291202875,0.5991129279136658,0.9999999502420206,308,0.6153846153846154,0.795151,0.350940042261018
2191,554,3.1212909009585563,370,0.6074751045563895,0.41909947991371155,0.039433394274676625,370,0.46153846153846156,0.746677,0.634935487122659
2191,627,0.0165814787439705,185,0.7091744266836401,0.4776476323604584,0.9803680378056064,185,0.6923076923076923,0.836384,0.33195140831077
2191,591,709.782712893384,1266,0.14575861331376005,0.07130733132362366,0.0,1266,0.0714285714285714,0.183631,0.106949741135547
2191,682,709.782712893384,1268,0.16497522310202573,0.10143830627202988,0.0,1268,0.07692307692307687,0.202261,0.543829837920834
2191,575,-0.0,184,0.7824796470692745,0.5986649394035339,1.0,184,0.7692307692307692,0.886015,0.143062775001436
597,691,-0.0,526,0.5673343691153692,0.6049036979675293,1.0,526,0.375,0.681098,0.425090806986752
597,571,-0.0,359,0.6950913403639487,0.7751796841621399,1.0,359,0.625,0.89093,0.499038066395217
597,625,-0.0,114,0.7650151011308097,0.734296977519989,1.0,114,0.8846153846153846,0.904219,0.995531211977964
597,702,709.782712893384,5512,0.0017661771231560763,0.013713009655475616,0.0,5512,0.0,0.18375,0.629669804091715
597,733,-0.0,240,0.7846545730886545,0.7759254574775696,1.0,240,0.8,0.899791,0.125628605326383
597,627,-0.0,201,0.6882698519525963,0.6922710537910461,1.0,201,0.7586206896551724,0.801868,0.322256316677271
597,579,5.700995231466429e-12,287,0.4863330472106525,0.5023415088653564,0.9999999999915319,287,0.5666666666666667,0.63594,0.499953225998874
597,498,709.782712893384,1896,0.0680027786875631,0.029184184968471527,0.0,1896,0.07692307692307687,0.165985,0.524697007209554
597,682,709.782712893384,2645,0.02085299020746767,0.03513685241341591,0.0,2645,0.0,0.101301,0.189053950174399
597,575,-0.0,411,0.6087688840759712,0.630282998085022,1.0,411,0.5833333333333333,0.734893,0.233609038704776
597,730,465.5325621422946,2933,0.04264071010422532,0.2132217437028885,0.0,2933,0.04166666666666663,0.631773,0.142244827341537
597,554,-0.0,352,0.6590333785812759,0.6711708307266235,1.0,352,0.6666666666666667,0.780537,0.0479179811843473
597,720,218.49572865223357,1054,0.33803305346641166,0.15280809998512268,0.0,1054,0.20833333333333337,0.465856,0.625258047458695
597,700,-0.0,419,0.6071742896628167,0.6228394508361816,1.0,419,0.48275862068965514,0.730855,0.643058022284331
597,574,-0.0,251,0.6939266841796727,0.7071457505226135,1.0,251,0.6666666666666667,0.805821,0.635561578180485
597,647,-0.0,170,0.838103387300274,0.8304606080055237,1.0,170,0.8571428571428572,0.925854,0.0751863150537659
597,506,12.624509182251014,1452,0.2213850882075853,0.32849568128585815,2.964453720388782e-06,1452,0.16666666666666663,0.472635,0.318302940422738
597,645,0.0007841600692563146,445,0.5176510501160724,0.4491526484489441,0.9990782668658588,445,0.45833333333333337,0.630595,0.227895769026668
597,648,-0.0,270,0.7610880394055873,0.7610756754875183,1.0,270,0.75,0.886514,0.350290726596421
597,613,709.782712893384,926,0.1489639910547732,0.03979382663965225,0.0,926,0.09090909090909094,0.262048,0.22106000073732
597,663,-0.0,449,0.6108562738374368,0.5913705229759216,1.0,449,0.41666666666666663,0.716976,0.179593527870897
597,591,4.278807814898647,714,0.34328997308452935,0.3639455735683441,0.012608290460095373,714,0.3214285714285714,0.454252,0.242785190391282
597,529,4.319099523408953e-10,430,0.49141226472021726,0.49573856592178345,0.9999999994147963,430,0.5,0.611737,0.625587151046709
700,627,2.926114905975119e-11,414,0.46071871863697833,0.4604892134666443,0.9999999999593507,414,0.5172413793103448,0.555627,0.163288409175366
700,702,-0.0,444,0.5891985878205988,0.6673716306686401,1.0,444,0.4482758620689655,0.738757,0.538107118023134
700,529,42.51824757089471,819,0.2540137165187265,0.2513481378555298,0.0,819,0.13793103448275867,0.317171,0.107428093744126
700,574,-0.0,464,0.507066795793536,0.5069617629051208,1.0,464,0.3793103448275862,0.586339,0.0022270037992778
700,591,-0.0,8,0.9883206697512114,0.9847835302352905,1.0,8,0.9642857142857143,0.996354,0.355714908882036
700,498,2.226018763940607e-07,260,0.7154142925364646,0.4961245059967041,0.9999996954526315,260,0.3846153846153846,0.831041,0.5564608091193
700,613,0.007784904204566971,165,0.7306626319306297,0.4434780180454254,0.9904711034117937,165,0.7272727272727273,0.866511,0.621857533437181
700,625,-0.0,138,0.7228028426143853,0.7122529745101929,1.0,138,0.8076923076923077,0.838221,0.153098344579703
700,691,-0.0,781,0.39169146942843325,0.4321196675300598,1.0,781,0.2068965517241379,0.408872,0.540458098039028
700,554,-0.0,471,0.5703614112528066,0.5631904006004333,1.0,471,0.3448275862068966,0.642054,0.357514940597096
700,663,0.4740021351835276,809,0.378524935520809,0.38590162992477417,0.6090093323839336,809,0.1724137931034483,0.485919,0.0024732831642041
700,720,-0.0,283,0.7146117393074061,0.5797135233879089,1.0,283,0.6551724137931034,0.832643,0.325869688227645
700,645,-0.0,221,0.7229413866413834,0.6876227259635925,1.0,221,0.7586206896551724,0.824457,0.134220213335159
700,648,-0.0,450,0.5849614004074664,0.6515132188796997,1.0,450,0.4137931034482759,0.732339,0.03422850787564
700,579,16.23725643466454,546,0.24978777261498586,0.25806841254234314,7.047202588150725e-08,546,0.16666666666666663,0.304381,0.561600828361614
700,506,0.30966196282594227,1312,0.2033272356261573,0.3108766973018646,0.724346277199515,1312,0.06896551724137934,0.249673,0.606333069174636
700,647,-0.0,308,0.6935762828108892,0.7121180891990662,1.0,308,0.6206896551724138,0.796465,0.005107556812585
700,575,-0.0,583,0.4933340602812595,0.48948389291763306,1.0,583,0.24137931034482762,0.54729,0.133022169250859
700,624,290.32782962975523,123,0.8645491870777791,0.01875881478190422,0.0,123,0.0,1.0,0.642859054609148
700,571,-0.0,137,0.8503038924251952,0.896583616733551,1.0,137,0.8620689655172413,0.953951,0.61380892282366
