source,target,weight,pf_alpha
625,929,624,0.0313299727464712
579,498,95,0.0313337379320491
651,724,116,0.0316987353100327
691,527,721,0.0319805593813896
529,724,177,0.0321649753762088
1165,1143,43,0.0322189370369124
981,529,5258,0.0322334622687461
647,506,931,0.0322507275637243
673,930,285,0.0323263509670266
575,627,962,0.0324548452754881
663,723,3164,0.032551294734249
726,568,449,0.0328705628600699
691,593,303,0.0330883022204481
506,709,331,0.0331203747988411
157,1417,818,0.0332264345555239
506,586,2286,0.0332417312147475
157,571,288,0.033421867798641
691,570,92,0.0334686970512885
673,1422,189,0.0336180056603047
571,548,280,0.0339063947120845
1422,1424,199,0.034226377947477
618,667,69,0.0343143665220287
68,63,28,0.0346821188605062
627,625,141,0.0346962416557563
529,708,478,0.0347011256516042
682,661,251,0.0348180506655703
158,122,11,0.0348602988841366
625,536,331,0.0350448731477046
700,2069,356,0.0350486734220455
529,2183,2314,0.0351152955944894
682,520,1208,0.0352696436014859
140,145,28,0.0353512676763826
981,1999,4,0.0359955623579509
691,526,132,0.0362000092423103
574,565,227,0.0365181048053657
94,127,473,0.0366249594047332
2032,97,14,0.0369146109765609
697,2190,1449,0.0371165179786258
663,2250,83,0.0371781962832903
144,116,3,0.038066037557184
1426,930,93,0.0381115076176863
627,2185,108,0.0383051563622508
488,2707,1,0.0383761562195576
579,597,287,0.0386346141028273
937,930,41,0.0387758833717708
627,2257,246,0.0394314834179811
549,705,12,0.0395441235671351
579,995,313,0.0396849444326151
53,139,133,0.0398628089198401
48,150,31,0.0399713504704432
510,618,237,0.040284727697309
645,536,164,0.0407200418489961
591,730,351,0.0407612183105086
571,579,385,0.0407625849274709
579,513,123,0.0408300233578333
70,81,31,0.0411827999581412
640,1878,13,0.0417071837906857
571,1417,1813,0.0417380860852347
663,729,110,0.0419317770259447
506,673,1273,0.0422194496049305
627,2191,185,0.0431558370463972
591,1422,493,0.0432834138554498
49,2043,3,0.0434088238764762
682,735,1771,0.0438242862759159
506,741,1046,0.0440134086021666
1135,2380,10,0.0440979451272834
697,528,208,0.0441109951416542
725,528,1260,0.0442727794227234
682,2247,407,0.0445865187732745
571,661,205,0.0447516879283588
527,741,164,0.0450199557879679
645,527,186,0.0452732729833875
2204,590,46,0.0457769658245065
565,2194,427,0.0458798347774711
538,735,367,0.0459721708569415
150,44,25,0.0462237184078768
627,610,59,0.0466539134918516
2029,57,17,0.0466998363728849
697,735,409,0.0468315218559879
597,934,27,0.0471747568277949
586,726,85,0.0474581951932541
651,2191,2822,0.0476506251618243
691,512,642,0.047852285641998
697,688,688,0.0479047935704037
697,727,776,0.0479453149230658
702,725,788,0.0480133800646796
645,708,189,0.0481414167041301
579,611,163,0.0481463613696021
645,930,295,0.0484556729129762
691,984,1965,0.0489195670227344
514,741,145,0.049464688345085
697,736,341,0.0495812772712877
506,611,193,0.0497733424794244
574,561,126,0.0499445114045855
952,966,389,0.0499574579410368
574,703,320,0.0500900207865245
597,983,23,0.0501890653223774
648,594,501,0.0502466443993399
736,1879,2,0.0505954603050134
506,664,593,0.051293882293006
128,129,139,0.0513934032260148
702,625,3011,0.0517111855800989
975,978,257,0.0517645732067722
966,953,90,0.0520797540265776
554,2214,156,0.0520917328938941
579,503,28,0.0523947974708901
575,987,608,0.0524524145068075
574,688,379,0.0536078692533038
521,640,16,0.0538151979228503
574,578,191,0.0538953372484396
965,987,190,0.0542798780158589
691,2275,95,0.0542855557514441
647,690,139,0.0542923077266817
486,705,19,0.0543933694542732
579,651,648,0.0550520796448811
967,957,1,0.0555326309381798
575,676,827,0.0555501170471101
645,537,396,0.056025588566889
150,712,430,0.0567879476282212
2068,1420,92,0.0572837913213523
627,2236,84,0.0574505014947579
574,645,161,0.0576781928023635
705,704,22,0.0577956167420905
736,527,2333,0.0585707560730176
554,927,383,0.0589106035029468
682,2194,437,0.0591121063366399
157,663,282,0.0591566345681911
574,687,177,0.0594583071396213
691,547,157,0.0599019919708
128,107,130,0.0601645156607927
691,722,2514,0.060281844002014
965,978,754,0.0603093730118911
591,663,898,0.060375318426922
665,527,274,0.0604000344894528
132,682,1052,0.0604365641588101
506,495,159,0.0607334754631096
625,552,129,0.0614706578595352
574,718,170,0.0616362219932007
574,586,142,0.0618260793922874
574,681,111,0.0619596246398454
574,604,153,0.0619792669748394
506,674,467,0.062066686385952
673,667,147,0.0621691733444648
591,565,303,0.0630489201107149
984,2068,48,0.0634225354657231
575,729,376,0.0634674549077442
597,626,16,0.0637188585462466
539,700,74,0.0640604143451134
738,952,46,0.0651974842938432
2029,125,35,0.0653716703367651
647,714,1494,0.0655816292233147
157,555,140,0.0656374822943355
