source,target,weight,gloss_alpha
157,702,2787,0.0909017
574,965,1092,0.0911304
645,739,1357,0.091277
627,720,2039,0.0913069
730,700,6956,0.0914061
150,702,1636,0.0914693
527,726,883,0.0916869
575,935,107,0.0922099
627,697,2146,0.0922117
1123,2373,34,0.0927388
981,632,1729,0.093104
981,529,5258,0.0931917
647,966,1100,0.0932695
673,725,3296,0.0939217
574,588,828,0.0940315
700,726,3637,0.0941277
647,1161,940,0.0947008
150,591,1371,0.0947962
682,981,2433,0.0948822
554,2182,1180,0.0949962
77,1859,10,0.0960022
932,936,319,0.0961127
739,694,108,0.0963822
506,536,2343,0.0969091
94,625,1531,0.0979429
45,2033,46,0.0988321
510,2197,647,0.0992253
667,726,744,0.100189
627,690,960,0.100208
554,618,1048,0.100415
981,979,453,0.100566
575,958,791,0.100724
506,488,2695,0.10079
691,528,1370,0.101145
736,739,1380,0.102167
730,663,6626,0.102479
110,127,180,0.102722
700,510,2172,0.102787
648,2195,393,0.103013
673,1418,119,0.103186
625,661,1371,0.103904
691,540,443,0.10447
157,739,1204,0.10478
1161,2400,44,0.104925
665,2190,800,0.10511
2043,66,19,0.105407
134,118,135,0.105891
691,712,2113,0.10605
1125,2367,61,0.106104
157,1405,240,0.106325
1137,1126,47,0.106507
730,1161,1016,0.106534
574,2224,76,0.106743
697,625,1888,0.106928
708,618,1198,0.106941
157,126,162,0.107056
1123,1910,30,0.107157
506,966,1035,0.107271
685,579,1082,0.10789
697,521,304,0.1088
132,150,1164,0.108844
700,930,472,0.109058
506,723,3563,0.109191
552,673,1927,0.10934
150,663,1291,0.109518
506,646,630,0.109822
965,2266,94,0.109957
733,952,1327,0.110101
591,661,2189,0.110701
2032,102,181,0.110841
506,539,1106,0.111044
591,618,977,0.111834
647,549,745,0.112394
575,703,690,0.112694
597,661,2135,0.113365
1426,1409,88,0.114229
685,623,179,0.114456
730,554,5468,0.115175
157,730,3191,0.115189
665,643,644,0.115281
579,1417,1187,0.115548
661,687,1358,0.115621
697,681,419,0.115827
571,1005,1506,0.11601
648,717,1046,0.116059
691,527,721,0.116201
574,514,2072,0.116565
77,663,835,0.116739
645,927,501,0.117042
574,702,1479,0.117475
1140,1163,11,0.117583
648,528,1460,0.117614
1161,1134,154,0.117722
645,986,1429,0.117724
702,965,1425,0.117964
966,982,514,0.118278
575,722,1861,0.118381
529,1417,1899,0.118426
965,953,297,0.11856
691,966,971,0.118613
77,571,957,0.118748
506,937,203,0.118996
