source,target,weight,global_score
965,952,1314,1314
132,1187,1312,1312
506,700,1312,1312
552,661,1307,1307
663,542,1299,1299
700,929,1297,1297
981,565,1293,1293
733,971,1292,1292
150,663,1291,1291
700,695,1290,1290
691,737,1285,1285
1187,735,1284,1284
597,632,1283,1283
591,2194,1280,1280
529,506,1275,1275
625,984,1273,1273
506,673,1273,1273
738,618,1272,1272
682,2191,1268,1268
574,1187,1267,1267
591,2191,1266,1266
736,726,1262,1262
725,528,1260,1260
648,986,1259,1259
647,733,1253,1253
739,611,1253,1253
53,591,1252,1252
691,685,1252,1252
157,651,1251,1251
591,1187,1250,1250
708,929,1245,1245
700,520,1239,1239
591,2189,1236,1236
733,683,1236,1236
554,671,1236,1236
132,157,1229,1229
529,571,1227,1227
579,966,1226,1226
981,739,1225,1225
574,506,1218,1218
981,718,1217,1217
700,2191,1216,1216
88,157,1209,1209
682,520,1208,1208
575,712,1205,1205
565,597,1205,1205
157,739,1204,1204
157,691,1202,1202
575,695,1200,1200
571,546,1200,1200
708,618,1198,1198
730,690,1196,1196
575,548,1194,1194
574,647,1192,1192
625,688,1190,1190
514,695,1189,1189
579,1417,1187,1187
647,578,1185,1185
552,548,1180,1180
554,2182,1180,1180
571,709,1180,1180
697,665,1179,1179
506,571,1172,1172
700,1005,1170,1170
1189,737,1166,1166
132,150,1164,1164
645,724,1164,1164
571,642,1164,1164
529,984,1156,1156
554,2067,1156,1156
682,691,1153,1153
691,929,1151,1151
571,496,1148,1148
741,542,1147,1147
697,730,1144,1144
733,725,1144,1144
574,691,1141,1141
529,929,1132,1132
574,730,1131,1131
691,571,1131,1131
575,1005,1129,1129
53,94,1127,1127
697,1189,1126,1126
981,625,1126,1126
53,150,1122,1122
574,664,1116,1116
529,723,1115,1115
651,2186,1115,1115
506,984,1112,1112
702,1183,1107,1107
506,539,1106,1106
