source,target,weight
89,101,25
89,104,111
89,574,136
94,58,143
94,107,83
94,134,1333
94,146,666
94,529,362
94,554,1350
94,571,887
94,579,731
94,591,147
94,625,1531
94,651,548
94,691,1781
94,700,252
109,134,117
109,647,105
109,682,9
121,76,21
121,101,13
134,69,16
134,103,20
134,123,41
134,133,21
134,139,122
134,146,384
134,2048,59
134,574,275
134,647,400
134,682,127
134,691,500
134,1862,5
134,117,2
139,574,164
139,647,207
139,682,73
139,691,216
140,145,28
140,2065,3
153,647,520
153,730,168
153,733,919
574,488,384
574,500,132
574,502,76
574,505,166
574,506,1218
574,510,515
574,514,2072
574,515,63
574,516,313
574,520,156
574,521,132
574,522,145
574,526,147
574,527,414
574,528,271
574,529,467
574,538,195
574,539,378
574,540,219
574,542,739
574,544,71
574,545,77
574,549,109
574,552,192
574,554,407
574,555,158
574,558,82
574,559,285
574,561,126
574,565,227
574,567,7
574,569,1425
574,571,180
574,572,96
574,497,26
574,575,1051
574,2217,53
574,577,168
574,578,191
574,579,557
574,2218,59
574,586,142
574,588,828
574,591,432
574,593,133
574,594,183
574,597,251
574,599,151
574,2219,97
574,602,239
574,604,153
574,606,188
574,611,111
574,612,1558
574,614,242
574,2220,40
574,2221,71
574,616,186
574,618,200
574,622,898
574,625,478
574,627,627
574,628,111
574,629,206
574,632,355
574,637,87
574,641,125
574,643,90
574,645,161
574,2222,58
574,647,1192
574,648,1706
574,2197,62
574,2223,61
574,2224,76
574,651,578
574,653,144
574,655,61
574,2216,86
574,661,511
574,2225,58
574,663,462
574,664,1116
574,665,392
574,667,204
574,669,600
574,673,223
574,674,350
574,676,461
574,678,78
574,679,508
574,680,1013
574,681,111
574,682,1050
574,683,251
574,2226,67
574,687,177
574,688,379
574,689,389
574,690,270
574,691,1141
574,692,957
574,697,473
574,701,1
574,699,493
574,700,464
574,702,1479
574,703,320
574,2196,67
574,708,146
574,710,446
574,712,132
574,2227,57
574,715,142
574,717,362
574,718,170
574,2228,27
574,721,60
574,722,198
574,724,2300
574,2229,93
574,725,631
574,726,254
574,727,834
574,729,204
574,730,1131
574,733,950
574,2184,66
574,734,246
574,2230,23
574,2185,578
574,735,417
574,736,1085
574,737,337
574,738,539
574,739,487
574,741,293
574,2189,263
574,2190,249
574,2191,2252
574,2194,468
574,949,158
574,965,1092
574,971,475
574,974,833
574,981,215
574,985,264
574,986,550
574,1161,688
574,1183,523
574,1184,453
574,1187,1267
574,1189,688
575,487,258
575,488,391
575,492,201
575,495,368
575,502,339
575,506,1564
575,510,548
575,514,3393
575,520,281
575,526,416
575,527,382
575,529,634
575,530,101
575,533,157
575,535,276
575,539,240
575,541,1402
575,546,924
575,548,1194
575,549,998
575,552,256
575,553,169
575,554,490
575,555,174
575,556,833
575,559,183
575,560,126
575,562,291
575,565,374
575,569,173
575,571,443
575,564,802
575,577,449
575,578,146
575,579,631
575,586,437
575,589,82
575,591,576
575,593,1597
575,594,1619
575,597,411
575,599,536
575,2174,182
575,600,1609
575,2231,93
575,2232,84
575,604,472
575,607,145
575,609,97
575,610,253
575,611,130
575,612,2458
575,613,1390
575,618,343
575,622,208
575,625,365
575,627,962
575,628,265
575,632,246
575,642,299
575,643,236
575,645,168
575,2233,80
575,647,762
575,2234,172
575,648,1513
575,2197,316
575,2235,526
575,650,1620
575,2176,190
575,651,991
575,653,367
575,2236,181
575,2216,247
575,661,310
575,663,658
575,667,405
575,668,291
575,2177,842
575,670,132
575,673,508
575,674,175
575,676,827
575,2179,138
575,677,157
575,680,1468
575,682,651
575,683,512
575,685,718
575,687,653
575,688,411
575,689,203
575,690,248
575,691,1423
575,692,2325
575,695,1200
575,697,338
575,700,583
575,702,669
575,703,690
575,708,258
575,709,232
575,712,1205
575,715,574
575,718,286
575,720,4081
575,722,1861
575,2237,124
575,724,574
575,2229,133
575,725,595
575,726,552
575,2183,1400
575,729,376
575,730,735
575,733,851
575,2184,333
575,2185,246
575,735,205
575,2238,180
575,736,536
575,737,233
575,738,478
575,2239,54
575,2240,135
575,739,343
575,740,656
575,741,384
575,2189,372
575,2190,292
575,2241,175
575,2242,189
575,2191,184
575,2193,241
575,2194,421
575,927,506
575,932,403
575,935,107
575,1894,1029
575,939,452
575,947,241
575,949,128
575,952,131
575,958,791
575,963,234
575,965,505
575,966,237
575,967,76
575,969,190
575,971,435
575,972,518
575,974,200
575,975,329
575,976,47
575,981,407
575,984,713
575,985,442
575,986,923
575,987,608
575,1005,1129
575,2195,161
575,1187,2412
575,1189,1522
575,1417,2176
575,2266,11
591,107,155
591,498,188
591,506,1072
591,510,250
591,527,189
591,529,665
591,536,119
591,537,160
591,539,158
591,548,127
591,552,195
591,554,669
591,555,172
591,565,303
591,569,578
591,571,228
591,578,1455
591,579,516
591,597,714
591,611,1015
591,612,115
591,613,366
591,618,977
591,625,214
591,627,365
591,632,282
591,639,89
591,643,132
591,647,292
591,648,795
591,661,2189
591,663,898
591,665,243
591,667,214
591,671,103
591,673,461
591,674,562
591,680,787
591,682,390
591,683,277
591,685,514
591,688,1813
591,689,1772
591,691,787
591,692,124
591,695,440
591,697,1727
591,700,8
591,702,530
591,708,193
591,714,128
591,2182,76
591,718,368
591,720,148
591,723,153
591,724,253
591,725,186
591,726,2224
591,2183,110
591,729,192
591,730,351
591,733,956
591,736,2659
591,738,102
591,739,270
591,2067,120
591,741,389
591,2189,1236
591,2191,1266
591,2194,1280
591,927,358
591,929,655
591,2050,68
591,930,401
591,931,169
591,932,600
591,934,277
591,1894,761
591,965,1542
591,971,373
591,974,588
591,981,119
591,984,2210
591,985,308
591,986,745
591,987,1085
591,995,269
591,1002,347
591,1005,850
591,2195,323
591,1187,1250
591,1404,73
591,1412,298
591,2249,179
591,1417,158
591,1421,107
591,1422,493
591,1426,70
591,2068,156
591,2069,57
591,1423,16
627,488,126
627,494,64
627,495,100
627,502,144
627,506,949
