source,target,weight,ecm_alpha
39,156,36,0.0007193186320364
154,51,19,0.0007265695603564
76,121,21,0.000728758634068
488,2707,1,0.00073372956831
134,103,20,0.0007375784916803
154,112,60,0.0007387976511381
134,133,21,0.0007415279978886
985,2730,1,0.000741853902582
2029,125,35,0.00074601941742
132,591,4997,0.0007463489891961
926,2322,8,0.0007578118238598
75,102,102,0.0007578982040286
1170,1158,26,0.0007620473043061
31,2028,24,0.0007656083325855
584,666,4,0.0007670926279388
2032,97,14,0.0007700689602643
1170,1149,12,0.0007701527210883
110,71,20,0.0007706297328695
1134,1156,21,0.000774273998104
1154,2379,43,0.0008092887001112
1405,1420,102,0.0008119989652186
55,2046,9,0.0008120127022266
1124,1132,5,0.0008208626531995
995,993,106,0.0008314955630339
53,2657,4,0.0008321587811224
1170,2396,26,0.0008325947565026
144,124,25,0.0008330370765179
1154,1167,45,0.0008446580031886
1913,1139,3,0.0008447551517747
121,101,13,0.0008501601987518
1140,1914,11,0.0008535716915503
134,69,16,0.0008555127424187
2373,1174,8,0.0008560746791772
1138,1141,12,0.0008581225993111
2034,60,31,0.0008587586344219
68,63,28,0.000865034176968
155,2044,13,0.0008676234865561
1910,2683,1,0.0008736769668757
1166,2409,29,0.0008760816999711
2701,1952,2,0.0008773083100095
2032,82,52,0.0008909934549592
46,158,19,0.0008936846861615
1165,1143,43,0.0008974478696472
992,1898,6,0.0009121774346567
1413,1414,6,0.0009138213354162
131,55,27,0.0009143018396571
84,2659,12,0.0009147946257144
88,104,96,0.0009164704824797
1125,1168,21,0.0009223011438734
995,994,92,0.0009242359083145
1187,1182,302,0.0009252839954569
72,152,13,0.0009272718452848
1137,1126,47,0.000936200551223
1140,2715,4,0.0009605964296497
927,2322,37,0.0009687691344879
134,118,135,0.0009688147110864
1183,1182,55,0.0009700881200842
736,527,2333,0.0009716527420096
1137,2382,53,0.0009836927056312
992,991,46,0.0009867092594504
992,1005,427,0.0009867736371234
989,988,47,0.0009954844135791
1005,1968,5,0.0009973483392968
93,2032,25,0.0010005586082115
36,2029,36,0.0010021337075158
144,35,22,0.0010092554148286
112,155,94,0.0010193928610533
1899,1900,4,0.0010317482519894
1177,2390,7,0.0010357751743867
2029,95,39,0.0010378152364864
94,134,1333,0.0010384005727246
1140,2382,16,0.0010391431860625
2034,46,52,0.0010395880090072
1161,1166,122,0.0010509919375181
661,2269,9,0.0010636332444846
1170,2413,7,0.0010709125781431
122,2036,6,0.0010725143365561
1187,1185,537,0.0010770251974463
1166,1150,16,0.00108212698251
49,2043,3,0.0010850870748981
685,623,179,0.0010938285849988
1123,1910,30,0.001097401487641
46,152,15,0.0010974255856126
68,2658,12,0.0011094693327322
1161,1135,191,0.001117288484238
1954,2701,1,0.0011191302910447
2257,973,89,0.0011238266015425
936,933,11,0.0011382026132196
1005,1967,3,0.0011414176551625
1005,997,11,0.0011431818129494
2029,100,44,0.0011527549941092
1123,2369,27,0.0011666612699627
1123,2368,27,0.0011666661594063
107,73,79,0.0011714672436937
1140,1163,11,0.0011762471403926
127,34,87,0.0011773338774219
1161,1151,169,0.0011774968588724
1984,2055,4,0.0011899004457518
2034,115,10,0.0011932000052183
1409,1408,10,0.0011996852699667
53,2035,63,0.0012050573714077
2402,1163,6,0.0012225739192217
1161,1133,14,0.0012284701224416
1005,1004,18,0.0012290657032281
1165,2407,22,0.0012296385830268
538,634,9,0.0012398564722388
619,2203,93,0.0012513955589383
1166,1176,21,0.0012544401688501
1426,1425,58,0.0012545471545308
995,933,14,0.0012603214709088
1161,1913,16,0.0012609794503077
55,2036,10,0.001269988133572
134,1862,5,0.0012713728938251
1422,1423,157,0.0012726633576676
491,2204,42,0.0012727257562801
84,1860,8,0.0012772179907187
2034,76,39,0.0012792131165042
658,713,2,0.0012833116343244
2034,158,41,0.0012843429576605
134,2048,59,0.0012872533407062
31,1861,7,0.001311762491241
1161,1134,154,0.0013225751463323
1170,1162,4,0.0013237990206107
1140,2402,8,0.0013262749416753
551,2671,3,0.001328102312982
136,2061,22,0.0013297664700075
640,2260,33,0.0013317769626155
1417,1415,22,0.0013379965675994
154,2061,22,0.0013420336181297
1161,1147,91,0.0013436385197564
35,124,2,0.0013485023519024
1005,1900,14,0.0013506617397069
1005,1003,37,0.0013506936375051
2034,72,34,0.0013512892182916
1161,2399,34,0.001354050124064
88,148,103,0.0013541823718696
667,621,31,0.0013612603070214
1161,2401,42,0.0013711081119254
2032,67,4,0.0013716355897486
102,64,63,0.0013786747585982
2068,1420,92,0.0013879701728001
144,143,15,0.0013888762332499
2378,1122,2,0.0013910647248849
1123,2371,22,0.0014049670426174
1161,1170,61,0.0014098742976784
1152,2407,4,0.001415001694113
1005,1001,80,0.0014188734348863
1417,2532,322,0.0014265072531998
136,156,50,0.0014268142404034
1417,1414,92,0.001441646949388
31,84,15,0.0014436526689678
970,978,39,0.0014659739099442
119,149,7,0.0014730660477653
1404,1405,166,0.0014824570389464
932,936,319,0.0014841026859357
127,105,116,0.0014987522736191
1137,2383,11,0.0015061611775308
1123,2384,20,0.0015136006986722
75,41,22,0.0015137766022235
645,989,806,0.0015245546819642
1166,1138,23,0.0015302683459594
110,127,180,0.0015449954662472
667,2270,15,0.0015559963649138
1161,2414,29,0.0015589196700602
1137,2716,8,0.0015646063257008
117,116,4,0.0015693726018071
31,68,18,0.0015918099088594
697,654,24,0.0015951946843415
1417,1416,93,0.001595820300281
1166,2410,6,0.0015971597749739
1123,1148,36,0.0015978979645296
144,2064,13,0.0016025833319872
1165,1152,12,0.001602628850378
1005,1899,7,0.0016248626634478
46,72,10,0.0016355352709069
1137,2381,4,0.0016432759584859
77,1859,10,0.0016555723268538
1163,1914,4,0.0016659368993714
966,938,449,0.0016810498200356
79,145,26,0.0017020106315612
1161,2400,44,0.0017135678790509
50,155,134,0.0017316833836957
1412,1413,205,0.0017349689733237
1165,2405,7,0.0017369424458593
1422,1424,199,0.0017376780742779
927,988,46,0.0017423126846551
2034,121,39,0.0017463366966694
2028,75,20,0.0017483331030234
88,138,32,0.001751342206262
102,65,73,0.0017590296920388
132,1857,5,0.0017658537253737
132,140,183,0.0017660071607679
725,634,81,0.0017662161262705
132,52,24,0.0017820560606196
1138,1164,6,0.001790553680621
1161,1172,16,0.0017987439641728
123,69,5,0.0018001613207161
1426,2535,36,0.0018045034958049
102,2042,27,0.0018090541707351
1137,2684,2,0.0018093996914103
1137,2734,2,0.0018094007391482
1165,2386,26,0.001823570462875
1165,1155,13,0.00182539538946
1166,1912,3,0.0018322226824238
1137,1129,28,0.0018456820398569
952,2257,631,0.0018552703550085
1165,2406,5,0.0018609286053106
110,2047,2,0.001862138393335
2034,152,28,0.0018672088626772
1165,1177,39,0.0018712248420342
1187,2267,647,0.0018746202113106
132,1984,203,0.0018881206633523
128,91,59,0.0018995957216247
685,649,35,0.0019130673026666
737,493,51,0.0019169723382219
1165,2385,22,0.0019206552533432
697,696,63,0.0019270414486527
1152,2404,1,0.0019374730763956
1166,1124,11,0.001939536887221
966,982,514,0.0019456546287983
150,86,15,0.001946207601577
54,2048,2,0.0019547929987311
992,1897,7,0.0019636657088994
144,30,10,0.0019927986431866
127,102,472,0.0020097855012863
1189,1185,213,0.0020128220785409
978,954,113,0.0020234286785125
1161,1131,63,0.00202391971834
1170,1145,7,0.0020246922504156
77,113,198,0.0020451464224606
568,584,4,0.0020592345390468
154,45,25,0.0020665365736931
1418,1419,9,0.0020676448475569
136,1859,7,0.0020817993208765
1411,2068,126,0.0020850936416536
685,626,19,0.0020941346883773
150,44,25,0.0021002467256039
1123,2397,11,0.0021063408348709
77,2044,16,0.0021071613300591
1123,2373,34,0.0021118663717061
952,977,716,0.0021188021637499
