source,target,weight,lans_alpha
574,616,186,0.0
739,684,185,0.0
965,2258,184,0.0
132,140,183,0.0
53,73,182,0.0
575,2174,182,0.0
645,2249,182,0.0
136,2032,182,0.0
150,106,181,0.0
157,2066,181,0.0
575,2238,180,0.0
685,623,179,0.0
691,560,178,0.0
521,2202,177,0.0
157,1421,175,0.0
575,2241,175,0.0
1187,1188,175,0.0
575,2234,172,0.0
702,728,172,0.0
128,2028,171,0.0
529,2206,171,0.0
575,553,169,0.0
965,940,169,0.0
1161,1151,169,0.0
53,147,166,0.0
730,1154,166,0.0
132,148,164,0.0
506,949,163,0.0
132,138,162,0.0
157,126,162,0.0
736,706,160,0.0
575,533,157,0.0
739,2282,157,0.0
554,2214,156,0.0
157,62,155,0.0
927,926,154,0.0
1161,1134,154,0.0
1161,1156,153,0.0
157,58,152,0.0
132,99,151,0.0
736,2280,148,0.0
965,962,148,0.0
506,2179,148,0.0
529,2203,147,0.0
157,1999,145,0.0
597,494,141,0.0
1137,2378,141,0.0
1154,2389,141,0.0
128,129,139,0.0
645,1411,139,0.0
506,2170,139,0.0
134,118,135,0.0
575,2240,135,0.0
682,678,134,0.0
575,2229,133,0.0
574,500,132,0.0
575,670,132,0.0
157,34,131,0.0
691,656,131,0.0
700,639,130,0.0
965,2327,129,0.0
157,2050,127,0.0
529,2209,127,0.0
691,2276,126,0.0
965,959,126,0.0
965,2326,126,0.0
574,641,125,0.0
506,2172,125,0.0
132,2054,124,0.0
575,2237,124,0.0
597,999,124,0.0
157,149,123,0.0
700,624,123,0.0
739,636,123,0.0
1161,1166,122,0.0
491,2166,121,0.0
691,573,119,0.0
673,1418,119,0.0
506,2169,117,0.0
506,2175,115,0.0
144,110,114,0.0
529,519,113,0.0
1161,1165,113,0.0
978,954,113,0.0
89,104,111,0.0
730,2279,111,0.0
506,2192,111,0.0
132,2055,110,0.0
965,950,109,0.0
77,112,109,0.0
506,490,109,0.0
498,2168,109,0.0
529,2208,108,0.0
739,694,108,0.0
132,2056,107,0.0
575,935,107,0.0
995,993,106,0.0
1161,1125,106,0.0
128,120,105,0.0
691,655,103,0.0
529,2207,103,0.0
597,2250,103,0.0
491,590,103,0.0
75,102,102,0.0
1405,1420,102,0.0
575,530,101,0.0
965,964,100,0.0
529,509,100,0.0
730,713,98,0.0
