source,target,weight,df_alpha
574,616,186,0.0507252362952626
552,597,1675,0.0512467546080411
554,671,1236,0.0515690864250527
627,692,1971,0.0515714559270441
691,685,1252,0.051591908492003
700,1005,1170,0.0516061001157208
506,2067,1657,0.0516780479805769
651,578,2291,0.0523092654885227
597,632,1283,0.0528436505544286
981,739,1225,0.0533208840261669
157,149,123,0.0538461538461538
981,552,2111,0.054231353946364
579,725,2943,0.0555939287801596
645,735,1994,0.0559662400725792
157,739,1204,0.0561400707469329
132,150,1164,0.0563783053819246
574,569,1425,0.0564161518735311
574,614,242,0.0565242276796115
94,691,1781,0.057120623082722
663,611,1979,0.0571500007184239
648,691,1777,0.0574921486233164
575,1005,1129,0.0574976521704289
157,937,256,0.0575476415056908
132,114,49,0.0576923076923077
579,548,1666,0.0578273961572904
575,958,791,0.0578287787210753
663,689,2106,0.0581584922847927
682,692,1894,0.0584655945287906
700,927,589,0.0586118880096043
625,984,1273,0.0587412143245463
591,618,977,0.058801792286065
506,599,687,0.0590337492630337
575,613,1390,0.0590849200347891
691,966,971,0.0592127874254063
645,986,1429,0.0593020364137388
647,521,355,0.0601158169743177
128,2028,171,0.0603168057408791
571,642,1164,0.0604725190857888
597,498,1896,0.0608081127560614
702,981,1906,0.0608465633461903
1417,1414,92,0.0612244897959183
736,981,1898,0.061581704197047
157,724,2058,0.0626359889564126
506,673,1273,0.0626761680198541
53,150,1122,0.0627221899277788
651,520,1552,0.0629343525771488
575,935,107,0.0637244935680011
571,653,1691,0.0637263653613778
700,929,1297,0.0641026099585877
663,542,1299,0.0643451594088704
1161,1125,106,0.0652407508514886
691,540,443,0.0658030667562414
981,625,1126,0.0659214878335825
552,683,1811,0.0669750683402145
736,571,2642,0.0670642171290398
552,695,1582,0.0676915766989295
651,611,1867,0.0680126156463495
645,1405,277,0.0685536232976512
627,604,670,0.0685956236952547
128,571,2616,0.0688992854479091
691,971,1100,0.0689616951939977
648,2195,393,0.0689814212570345
682,720,2139,0.0701251182246054
591,2189,1236,0.0705777332842805
575,715,574,0.0706979736296266
647,549,745,0.0709022820045186
574,965,1092,0.0711235924882195
741,569,1320,0.0712336035027435
118,54,26,0.0714285714285714
647,603,251,0.0714312303143053
575,703,690,0.0714326468425937
708,929,1245,0.0719980967781422
627,690,960,0.0724028379007665
691,527,721,0.0725936142868122
144,124,25,0.074074074074074
683,725,2657,0.074126584988336
730,741,1505,0.0751362499211538
597,511,713,0.0757897455834949
574,588,828,0.0758004356290271
682,2067,1459,0.0760522834746567
647,668,623,0.0760535257370447
575,969,190,0.0761264448445055
697,681,419,0.0764088681238677
673,1418,119,0.0764553316449911
506,597,1452,0.0765681670345931
157,126,162,0.0767336039471766
647,648,2605,0.0767687588089282
663,664,852,0.0767921618576754
529,984,1156,0.0769319488554374
645,1005,1012,0.0781369933514233
682,735,1771,0.0784382641310504
575,506,1564,0.0793007094836021
665,690,929,0.0794548874780751
157,725,2587,0.079515940094154
648,735,1760,0.0797469193838928
691,536,1422,0.0798915791521517
627,720,2039,0.0801311281306454
506,559,1326,0.0803542028105557
685,579,1082,0.0803574212405165
491,2165,250,0.0804673196443379
1423,1424,253,0.0807947110619499
157,1999,145,0.0811691122419322
