source,target,weight,nc_alpha
94,554,1350,0.0
1187,1189,1349,0.0
94,134,1333,0.0
648,737,1333,0.0
506,608,1331,0.0
733,952,1327,0.0
506,559,1326,0.0
741,569,1320,0.0
529,651,1319,0.0
506,578,1316,0.0
571,674,1315,0.0
965,952,1314,0.0
132,1187,1312,0.0
552,661,1307,0.0
663,542,1299,0.0
700,929,1297,0.0
981,565,1293,0.0
733,971,1292,0.0
150,663,1291,0.0
700,695,1290,0.0
691,737,1285,0.0
1187,735,1284,0.0
597,632,1283,0.0
591,2194,1280,0.0
625,984,1273,0.0
738,618,1272,0.0
682,2191,1268,0.0
574,1187,1267,0.0
591,2191,1266,0.0
736,726,1262,0.0
725,528,1260,0.0
648,986,1259,0.0
739,611,1253,0.0
53,591,1252,0.0
691,685,1252,0.0
157,651,1251,0.0
591,1187,1250,0.0
708,929,1245,0.0
700,520,1239,0.0
591,2189,1236,0.0
733,683,1236,0.0
554,671,1236,0.0
132,157,1229,0.0
579,966,1226,0.0
981,739,1225,0.0
981,718,1217,0.0
700,2191,1216,0.0
88,157,1209,0.0
682,520,1208,0.0
575,712,1205,0.0
565,597,1205,0.0
157,739,1204,0.0
575,695,1200,0.0
571,546,1200,0.0
708,618,1198,0.0
730,690,1196,0.0
575,548,1194,0.0
625,688,1190,0.0
514,695,1189,0.0
579,1417,1187,0.0
647,578,1185,0.0
552,548,1180,0.0
554,2182,1180,0.0
571,709,1180,0.0
697,665,1179,0.0
700,1005,1170,0.0
1189,737,1166,0.0
132,150,1164,0.0
645,724,1164,0.0
571,642,1164,0.0
529,984,1156,0.0
554,2067,1156,0.0
691,929,1151,0.0
571,496,1148,0.0
741,542,1147,0.0
529,929,1132,0.0
575,1005,1129,0.0
53,94,1127,0.0
697,1189,1126,0.0
981,625,1126,0.0
53,150,1122,0.0
574,664,1116,0.0
529,723,1115,0.0
651,2186,1115,0.0
506,984,1112,0.0
702,1183,1107,0.0
506,539,1106,0.0
647,966,1100,0.0
691,971,1100,0.0
981,661,1096,0.0
574,965,1092,0.0
571,2186,1089,0.0
591,987,1085,0.0
150,697,1083,0.0
685,579,1082,0.0
627,735,1081,0.0
157,984,1073,0.0
579,688,1071,0.0
510,737,1068,0.0
539,653,1065,0.0
691,1189,1063,0.0
150,645,1062,0.0
1189,725,1059,0.0
673,612,1057,0.0
700,1894,1057,0.0
597,720,1054,0.0
150,77,1053,0.0
132,682,1052,0.0
1189,735,1052,0.0
529,685,1051,0.0
571,667,1050,0.0
981,674,1048,0.0
539,488,1048,0.0
554,618,1048,0.0
648,717,1046,0.0
682,712,1044,0.0
733,692,1044,0.0
514,724,1043,0.0
506,966,1035,0.0
651,592,1035,0.0
