source,target,weight,nc_alpha
625,806,1821,0.0
663,2067,1821,0.0
1208,1268,1814,0.0
591,688,1813,0.0
691,1894,1813,0.0
571,1417,1813,0.0
199,673,1811,0.0
552,683,1811,0.0
806,565,1807,0.0
875,691,1799,0.0
506,286,1797,0.0
1659,893,1795,0.0
1187,725,1791,0.0
94,691,1781,0.0
648,1392,1780,0.0
259,1202,1772,0.0
591,689,1772,0.0
682,735,1771,0.0
209,758,1762,0.0
579,695,1762,0.0
648,735,1760,0.0
539,688,1757,0.0
157,875,1752,0.0
1659,1033,1748,0.0
733,286,1740,0.0
529,1202,1735,0.0
554,286,1735,0.0
157,1202,1733,0.0
981,632,1729,0.0
591,697,1727,0.0
981,708,1724,0.0
591,286,1716,0.0
199,627,1715,0.0
665,737,1715,0.0
1798,1844,1714,0.0
286,1096,1710,0.0
506,1264,1708,0.0
856,885,1708,0.0
574,648,1706,0.0
718,618,1705,0.0
259,94,1697,0.0
651,506,1697,0.0
510,687,1694,0.0
571,653,1691,0.0
733,688,1690,0.0
53,648,1688,0.0
627,984,1687,0.0
663,1323,1687,0.0
885,340,1686,0.0
77,691,1685,0.0
529,765,1684,0.0
730,538,1680,0.0
552,724,1676,0.0
597,552,1675,0.0
365,765,1674,0.0
225,893,1673,0.0
1659,280,1672,0.0
292,157,1669,0.0
579,548,1666,0.0
1752,1820,1662,0.0
645,1264,1661,0.0
981,965,1659,0.0
506,2067,1657,0.0
730,1202,1656,0.0
651,613,1656,0.0
157,1542,1655,0.0
259,1653,1655,0.0
201,858,1652,0.0
193,625,1651,0.0
730,2190,1651,0.0
292,865,1650,0.0
1759,1845,1644,0.0
645,891,1639,0.0
150,702,1636,0.0
199,150,1632,0.0
625,893,1631,0.0
673,2189,1628,0.0
697,1187,1626,0.0
199,700,1624,0.0
1666,1733,1623,0.0
575,650,1620,0.0
132,1264,1619,0.0
575,594,1619,0.0
280,700,1616,0.0
1096,765,1615,0.0
1254,1208,1611,0.0
157,128,1609,0.0
575,600,1609,0.0
682,643,1608,0.0
201,765,1602,0.0
691,1187,1600,0.0
280,1542,1599,0.0
730,733,1599,0.0
