source,target,weight
210,278,22
210,431,82
210,747,143
210,749,195
210,752,227
210,763,223
210,766,486
210,769,185
210,832,242
210,838,155
210,859,358
210,896,103
210,905,276
210,921,177
210,878,107
724,739,69
1745,1833,257
1745,1778,369
1745,1825,337
1745,1790,258
1745,1798,241
1745,1764,154
1745,1844,96
1745,1788,215
1745,1753,314
1745,1759,377
1745,1762,60
1745,1769,860
1745,1770,118
1745,1796,97
1745,1805,93
1745,1809,65
1745,1812,306
1745,1820,67
1745,1845,155
1745,1847,266
1745,1851,298
1745,1260,24
1745,1748,12
726,739,79
726,952,523
726,966,28
722,735,138
1748,1806,169
1748,1833,170
1748,1825,192
1748,1790,78
1748,1798,295
1748,1764,121
1748,1844,183
1748,1788,222
1748,1261,73
1748,1753,144
1748,1759,143
1748,1796,487
1748,1809,158
1748,1769,831
1748,1770,856
1748,1812,199
1748,1845,205
1748,1847,66
1748,1851,117
1753,1806,259
1753,1833,213
1753,1778,347
1753,1825,293
1753,1790,294
1753,1798,137
1753,1844,212
1753,1788,341
1753,1261,200
1753,1260,28
1753,1769,367
1753,1770,334
1753,1796,131
1753,1805,198
1753,1809,209
1753,1812,308
1753,1820,404
1753,1847,949
1753,1851,1137
1753,1759,1
1759,1806,723
1759,1833,984
1759,1778,642
1759,1825,835
1759,1790,82
1759,1798,966
1759,1764,264
1759,1844,109
1759,1788,467
1759,1260,28
1759,1762,504
1759,1769,413
1759,1770,206
1759,1796,112
1759,1805,200
1759,1809,229
1759,1812,1453
1759,1820,1463
1759,1845,1644
1759,1847,177
1759,1851,198
735,738,399
735,974,947
735,510,140
735,952,519
1762,1806,47
1762,1833,371
1762,1825,335
1762,1790,347
1762,1798,387
1762,1844,506
1762,1788,535
1762,1260,42
1762,1769,356
1762,1770,226
1762,1796,266
1762,1805,110
1762,1809,159
1762,1812,214
1762,1845,287
1762,1847,240
1762,1851,270
738,952,46
738,974,157
1764,1833,368
1764,1778,130
1764,1825,195
1764,1790,331
1764,1798,224
1764,1261,230
1764,1769,212
1764,1770,240
1764,1788,467
1764,1796,124
1764,1805,88
1764,1809,307
1764,1812,277
1764,1820,403
1764,1844,270
1764,1845,1224
1764,1847,984
1764,1851,183
739,971,360
739,929,556
739,1894,691
744,257,66
744,766,228
744,813,79
744,340,170
744,865,236
744,769,94
744,852,139
744,924,33
744,278,168
744,747,82
744,771,211
744,890,47
1769,1806,222
1769,1833,145
1769,1778,656
1769,1825,275
1769,1790,114
1769,1798,265
1769,1788,166
1769,1796,114
1769,1805,121
1769,1812,576
1770,1507,5
1770,1806,161
1770,1833,165
1770,1778,216
1770,1825,225
1770,1790,495
1770,1798,296
1770,1788,88
1770,1796,453
1770,1805,420
1770,1812,155
747,257,137
747,272,124
747,810,106
747,813,319
747,340,221
747,461,23
747,865,151
747,868,60
747,924,109
747,236,120
747,368,210
747,833,156
747,890,58
747,1450,75
747,1507,63
747,832,84
236,272,172
236,754,116
236,766,119
236,797,623
236,884,132
236,769,159
236,868,325
236,333,448
236,343,407
236,431,160
236,749,166
236,752,185
236,763,199
236,861,637
236,878,425
236,896,92
236,905,142
1260,1790,19
1260,1261,880
1260,1796,30
1260,1805,25
1261,1272,393
1261,1806,73
1261,1778,360
1261,1798,22
1261,1268,252
1261,1809,285
749,257,141
749,807,24
749,813,31
749,340,173
749,295,197
749,278,48
749,752,4
752,257,96
752,810,187
752,797,53
752,813,24
752,340,185
752,924,16
752,343,145
1778,1806,420
1778,1833,58
1778,1788,469
1778,1790,275
1778,1796,187
1778,1798,593
1778,1805,110
1778,1809,289
1778,1812,473
1778,1820,132
1778,1825,321
1778,1844,621
1778,1845,832
1778,1847,160
1778,1851,293
754,246,105
754,257,324
754,272,103
754,278,103
754,333,156
754,343,256
754,431,217
754,757,331
754,763,54
754,769,142
754,807,365
754,810,130
754,852,116
754,1507,189
757,766,208
757,807,16
757,769,749
757,431,600
757,278,37
757,763,543
757,771,235
246,272,79
246,333,294
246,431,67
246,763,96
246,766,107
