id,lat,lng,Name,City,Country,Label,degree,weighted_degree,component
1728,-26.612199783325195,144.2530059814453,Quilpie Airport,Quilpie,Australia,YQLP,2,21,31
1670,-25.897499084472656,139.34800720214844,Birdsville Airport,Birdsville,Australia,YBDV,2,21,31
1673,-24.346099853515625,139.4600067138672,Bedourie Airport,Bedourie,Australia,YBIE,2,21,31
1163,64.729301,-158.074005,Nulato Airport,Nulato,United States,PANU,3,21,52
1861,53.01060104370117,-78.83110046386719,Wemindji Airport,Wemindji,Canada,CYNC,2,20,33
242,59.1553001404,-2.64139008522,Stronsay Airport,Stronsay,United Kingdom,EGER,2,20,32
243,59.250301361083984,-2.576669931411743,Sanday Airport,Sanday,United Kingdom,EGES,3,20,32
2377,55.11629867553711,-162.26600646972656,King Cove Airport,King Cove,United States,PAVC,1,20,58
2624,-25.41309928894043,142.66700744628906,Windorah Airport,Windorah,Australia,YWDH,2,19,31
97,49.83639907836914,-64.2885971069336,Port Menier Airport,Port Menier,Canada,CYPN,2,19,28
1664,-23.5652999878,145.307006836,Barcaldine Airport,Barcaldine,Australia,YBAR,2,19,76
2615,-22.913299560546875,139.89999389648438,Boulia Airport,Boulia,Australia,YBOU,2,19,31
1936,-17.748600006103516,139.53399658203125,Burketown Airport,Burketown,Australia,YBKT,2,18,62
2685,5.35698,162.957993,Kosrae International Airport,Kosrae,Micronesia,PTSA,2,18,59
1900,22.379499,-73.013494,Mayaguana Airport,Mayaguana,Bahamas,MYMM,2,18,54
1169,68.1147,-145.578995,Arctic Village Airport,Arctic Village,United States,PARC,1,18,39
1,-6.711944,156.396111,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,AGGC,2,17,72
353,64.54830169677734,18.71619987487793,Lycksele Airport,Lycksele,Sweden,ESNL,2,16,17
2036,71.9938964844,-125.242996216,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,CYSY,2,16,67
1124,65.9815979004,-161.149002075,Buckland Airport,Buckland,United States,PABL,2,16,38
1012,-14.3114004135,-178.065994263,Pointe Vele Airport,Futuna Island,Wallis and Futuna,NLWF,1,16,23
2402,64.8760986328,-157.727005005,Koyukuk Airport,Koyukuk,United States,PFKU,3,15,52
469,0.9719889760017396,34.95859909057617,Kitale Airport,Kitale,Kenya,HKKT,1,14,43
1171,62.095401763916016,-163.6820068359375,Mountain Village Airport,Mountain Village,United States,PAMO,1,14,57
359,64.5791015625,16.833599090576172,Vilhelmina Airport,Vilhelmina,Sweden,ESNV,2,13,13
1145,62.18830108642578,-159.77499389648438,Holy Cross Airport,Holy Cross,United States,PAHC,2,13,14
15,-6.36332988739,143.238006592,Moro Airport,Moro,Papua New Guinea,AYMR,2,13,40
701,36.92610168,-111.447998,Page Municipal Airport,Page,United States,KPGA,3,13,15
1132,66.0696029663,-162.76600647,Deering Airport,Deering,United States,PADE,2,12,38
1128,65.57379913,-144.7830048,Central Airport,Central,United States,PACE,2,12,20
1960,20.9330997467041,-17.030000686645508,Nouadhibou International Airport,Nouadhibou,Mauritania,GQPP,2,12,11
2680,-8.93611,-139.552002,Ua Huka Airport,Ua Huka,French Polynesia,NTMU,2,12,53
1130,65.830498,-144.076008,Circle City /New/ Airport,Circle,United States,PACR,2,12,20
1854,-9.86054358262,161.979546547,Ulawa Airport,Ulawa,Solomon Islands,AGAR,2,12,37
2000,-28.030000686645508,145.6219940185547,Cunnamulla Airport,Cunnamulla,Australia,YCMU,2,12,12
410,-23.876399993896484,35.40850067138672,Inhambane Airport,Inhambane,Mozambique,FQIN,2,12,46
453,5.93513011932,43.5786018372,Gode Airport,Gode,Ethiopia,HAGO,1,12,71
1950,-10.4497003555,161.897994995,Ngorangora Airport,Kirakira,Solomon Islands,AGGK,3,12,37
2625,-20.70190048217773,143.11500549316406,Richmond Airport,Richmond,Australia,YRMD,1,12,26
1899,20.975000381469727,-73.66690063476562,Inagua Airport,Matthew Town,Bahamas,MYIG,2,11,54
1379,6.951868,-71.857179,Los Colonizadores Airport,Saravena,Colombia,SKSA,2,11,56
2332,-23.36540031433105,-149.5240020751953,Tubuai Airport,Tubuai,French Polynesia,NTAT,2,11,65
1953,55.07690048217773,-59.1864013671875,Makkovik Airport,Makkovik,Canada,CYFT,2,10,22
1862,49.78829956054688,-94.36309814453124,Kenora Airport,Kenora,Canada,CYQK,2,10,51
379,-17.83289909362793,25.162399291992188,Kasane Airport,Kasane,Botswana,FBKE,2,10,74
2301,35.4213981628,26.9099998474,Kasos Airport,Kasos,Greece,LGKS,1,10,47
2027,55.44829940795898,-60.22859954833984,Hopedale Airport,Hopedale,Canada,CYHO,2,10,22
584,33.22100067138672,-92.81330108642578,South Arkansas Regional At Goodwin Field,El Dorado,United States,KELD,3,10,10
67,50.28189849853516,-63.61140060424805,Havre St Pierre Airport,Havre-Saint-Pierre,Canada,CYGV,2,9,28
2021,-5.84499979019,142.947998047,Tari Airport,Tari,Papua New Guinea,AYTA,2,9,40
422,-28.5847,16.446699,Oranjemund Airport,Oranjemund,Namibia,FYOG,2,8,16
1874,-1.332,31.8212,Bukoba Airport,Bukoba,Tanzania,HTBU,1,8,73
2682,54.8474006652832,-163.41000366210938,False Pass Airport,False Pass,United States,PAKF,1,8,58
2509,6.45108,-71.7603,Gustavo Vargas Airport,Tame,Colombia,SKTM,2,8,56
2129,65.59030151367188,19.28190040588379,Arvidsjaur Airport,Arvidsjaur,Sweden,ESNX,1,8,17
601,35.95240020751953,-112.14700317382812,Grand Canyon National Park Airport,Grand Canyon,United States,KGCN,1,8,15
2030,54.98809814453125,-85.44329833984375,Peawanuck Airport,Peawanuck,Canada,CYPO,1,7,36
116,51.81969833374024,-93.97329711914062,Pikangikum Airport,Pikangikum,Canada,CYPM,2,7,30
1941,-28.049699783325195,148.59500122070312,St George Airport,St George,Australia,YSGE,2,7,12
32,50.1958007812,-61.2658004761,Kegaska Airport,Kegaska,Canada,CTK6,1,7,42
1939,-12.1883001328,96.8339004517,Cocos (Keeling) Islands Airport,Cocos Keeling Island,Cocos (Keeling) Islands,YPCC,1,7,19
1866,30.5713005065918,2.8595900535583496,El Golea Airport,El Golea,Algeria,DAUE,2,6,49
2724,-18.074800491333008,-140.9459991455078,Hao Airport,Hao Island,French Polynesia,NTTO,3,6,9
2387,62.646702,-160.190994,Anvik Airport,Anvik,United States,PANV,1,6,14
421,-26.687400817871094,15.242899894714355,Luderitz Airport,Luderitz,Namibia,FYLZ,2,6,16
1302,-19.85120010375977,-43.95059967041016,Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,Brazil,SBBH,3,6,8
1031,-18.856389,169.283333,Ipota Airport,Ipota,Vanuatu,NVVI,3,6,7
2726,-27.986400604248047,143.81100463867188,Thargomindah Airport,Thargomindah,Australia,YTGM,1,6,12
2705,22.75639915466309,-12.483599662780762,Tazadit Airport,Zouerat,Mauritania,GQPZ,1,6,11
2723,-14.45580005645752,-145.02499389648438,Takaroa Airport,Takaroa,French Polynesia,NTKR,2,6,6
2136,-0.7117390036582947,8.754380226135254,Port Gentil Airport,Port Gentil,Gabon,FOOG,1,6,69
1968,22.7455997467,-74.1824035645,Colonel Hill Airport,Colonel Hill,Bahamas,MYCI,2,6,29
666,34.47800064086914,-93.09619903564452,Memorial Field,Hot Springs,United States,KHOT,2,5,10
2130,65.80609893798828,15.082799911499023,Hemavan Airport,Hemavan,Sweden,ESUT,1,5,13
