,infection_participation
Disparity Filter,-0.44034879669143245
Marginal Likelihood Filter,0.7344327144222007
Noise Corrected Filter,0.665338626743819
Polya Filter,-0.03923089061728592
GLOSS Filter,-0.28332304879401615
