,infection_participation
Disparity Filter,-0.4007382591368157
Marginal Likelihood Filter,0.8388214666592853
Noise Corrected Filter,0.8375967887346708
Polya Filter,0.11911036865872207
GLOSS Filter,-0.14495575929796384
