,infection_participation
Disparity Filter,-0.6048589470143257
Marginal Likelihood Filter,0.7792894931537904
Noise Corrected Filter,0.7467188031178513
Polya Filter,0.056112076360664245
GLOSS Filter,-0.45876083561785175
