,infection_participation
Disparity Filter,-0.1974131580186814
Marginal Likelihood Filter,0.19149980981064288
Noise Corrected Filter,0.19603717707927845
Polya Filter,-0.03843581637090779
GLOSS Filter,-0.08359698980229024
