,infection_participation
Disparity Filter,-0.6585126940389004
Marginal Likelihood Filter,0.7777656323351682
Noise Corrected Filter,0.6576943635982412
Polya Filter,-0.6795568662774606
GLOSS Filter,-0.5133643821545382
