,infection_participation
Disparity Filter,-0.21868938723405615
Marginal Likelihood Filter,0.14625896930057627
Noise Corrected Filter,0.08301919963374901
Polya Filter,-0.010186065628132158
GLOSS Filter,0.062282820817427906
