,infection_participation
Disparity Filter,-0.6585126940389004
High Salience Skeleton,0.21798797999339536
Noise Corrected Filter,0.6576943635982412
Polya Filter,-0.6795568662774606
GLOSS Filter,-0.5133643821545382
Z-score Filter,0.7021417367096905
