,infection_participation
Global Threshold,0.22523806789483097
Disparity Filter,-0.21868938723405615
High Salience Skeleton,-0.0011814868402396847
Marginal Likelihood Filter,0.14625896930057627
Noise Corrected Filter,0.08301919963374901
Polya Filter,-0.010186065628132158
GLOSS Filter,0.062282820817427906
