,infection_participation
Disparity Filter,-0.44034879669143245
High Salience Skeleton,0.25198279748792485
Noise Corrected Filter,0.665338626743819
Polya Filter,-0.03923089061728592
GLOSS Filter,-0.28332304879401615
Z-score Filter,0.4644024347297916
