,infection_participation
Disparity Filter,-0.4007382591368157
High Salience Skeleton,0.2883328304468762
Noise Corrected Filter,0.8375967887346708
Polya Filter,0.11911036865872207
GLOSS Filter,-0.14495575929796384
Z-score Filter,0.35591480400612807
